"","LAD19CD","year","LAD19NM","over","lead","safe","exper","IMD.2019...Extent","under18","region_name","for_profit_percent","third_sector_percent","Cic_n_march","CLA_female_percent","CLA_white_percent","imd","region","profit","white","female","n","third"
"1396","E10000003","2019","Cambridgeshire","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.0471,20.8751761568205,"East of England",52.9107373868047,13.4540750323415,773,43.9844760672704,79.1720569210867,0.0471,"East of England",52.9107373868047,79.1720569210867,43.9844760672704,7.73,13.4540750323415
"1405","E10000006","2017","Cumbria","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.1636,18.5852019061951,"North West",33.3333333333333,9.72886762360447,627,43.0622009569378,96.969696969697,0.1636,"North West",33.3333333333333,96.969696969697,43.0622009569378,6.27,9.72886762360447
"1418","E10000007","2019","Derbyshire","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.1303,19.2182824339038,"East Midlands",36.7041198501873,3.99500624219725,801,42.8214731585518,85.8926342072409,0.1303,"East Midlands",36.7041198501873,85.8926342072409,42.8214731585518,8.01,3.99500624219725
"1430","E10000008","2020","Devon","Inadequate","Inadequate","Requires improvement to be good","Inadequate",0.0467,18.2648424355755,"South West",33.2443257676903,3.47129506008011,749,40.0534045393858,92.1228304405874,0.0467,"South West",33.2443257676903,92.1228304405874,40.0534045393858,7.49,3.47129506008011
"1450","E10000011","2018","East Sussex","Outstanding","Outstanding","Good","Outstanding",0.1445,19.1813772336321,"South East",20.9650582362729,4.3261231281198,601,45.0915141430948,87.8535773710482,0.1445,"South East",20.9650582362729,87.8535773710482,45.0915141430948,6.01,4.3261231281198
"1461","E10000012","2018","Essex","Outstanding","Outstanding","Outstanding","Good",0.0926,21.0569482001186,"East of England",33.6614173228346,2.46062992125984,1016,39.8622047244095,77.8543307086614,0.0926,"East of England",33.6614173228346,77.8543307086614,39.8622047244095,10.16,2.46062992125984
"1471","E10000013","2017","Gloucestershire","Inadequate","Inadequate","Inadequate","Requires improvement to be good",0.0772,20.2190916341765,"South West",25.0409165302782,6.71031096563011,611,44.6808510638298,84.1243862520458,0.0772,"South West",25.0409165302782,84.1243862520458,44.6808510638298,6.11,6.71031096563011
"1484","E10000014","2019","Hampshire","Outstanding","Outstanding","Outstanding","Outstanding",0.0493,20.5658128288327,"South East",35.6971153846154,3.54567307692308,1664,41.4663461538462,84.9158653846154,0.0493,"South East",35.6971153846154,84.9158653846154,41.4663461538462,16.64,3.54567307692308
"1494","E10000015","2018","Hertfordshire","Good","Outstanding","Good","Good",0.0238,22.8818818523006,"East of England",35.2413019079686,2.91806958473625,891,41.0774410774411,72.9517396184063,0.0238,"East of England",35.2413019079686,72.9517396184063,41.0774410774411,8.91,2.91806958473625
"1504","E10000016","2017","Kent","Good","Good","Requires improvement to be good","Good",0.1401,21.6185653747887,"South East",28.7671232876712,4.32033719704953,1898,34.0885142255005,69.0200210748156,0.1401,"South East",28.7671232876712,69.0200210748156,34.0885142255005,18.98,4.32033719704953
"1516","E10000017","2018","Lancashire","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.2447,20.6376910763413,"North West",37.1794871794872,1.8974358974359,1950,46.2051282051282,87.6410256410256,0.2447,"North West",37.1794871794872,87.6410256410256,46.2051282051282,19.5,1.8974358974359
"1528","E10000018","2019","Leicestershire","Requires improvement to be good","Good","Requires improvement to be good","Good",0.0247,20.0890739285284,"East Midlands",45.9691252144082,1.37221269296741,583,45.1114922813036,86.9639794168096,0.0247,"East Midlands",45.9691252144082,86.9639794168096,45.1114922813036,5.83,1.37221269296741
"1539","E10000019","2019","Lincolnshire","Outstanding","Outstanding","Good","Outstanding",0.1463,19.233760364886,"East Midlands",15.7119476268412,1.30932896890344,611,44.0261865793781,86.9067103109656,0.1463,"East Midlands",15.7119476268412,86.9067103109656,44.0261865793781,6.11,1.30932896890344
"1548","E10000020","2017","Norfolk","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.1504,18.9255223232672,"East of England",41.1392405063291,7.59493670886076,1106,44.8462929475588,89.3309222423146,0.1504,"East of England",41.1392405063291,89.3309222423146,44.8462929475588,11.06,7.59493670886076
"1571","E10000023","2018","North Yorkshire","Outstanding","Outstanding","Outstanding","Outstanding",0.0581,19.1209184628278,"Yorkshire and the Humber",5.94965675057208,NA,437,37.7574370709382,90.6178489702517,0.0581,"Yorkshire and the Humber",5.94965675057208,90.6178489702517,37.7574370709382,4.37,NA
"1583","E10000024","2019","Nottinghamshire","Good","Good","Requires improvement to be good","Good",0.153,20.2296721659841,"East Midlands",42.8074245939675,3.36426914153132,862,42.6914153132251,87.0069605568445,0.153,"East Midlands",42.8074245939675,87.0069605568445,42.6914153132251,8.62,3.36426914153132
"1593","E10000025","2018","Oxfordshire","Good","Good","Requires improvement to be good","Good",0.0392,21.0593375649432,"South East",43.421052631579,3.3625730994152,684,44.4444444444444,77.4853801169591,0.0392,"South East",43.421052631579,77.4853801169591,44.4444444444444,6.84,3.3625730994152
"1603","E10000027","2017","Somerset","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.0847,19.8279883644485,"South West",40.1260504201681,NA,476,44.1176470588235,92.0168067226891,0.0847,"South West",40.1260504201681,92.0168067226891,44.1176470588235,4.76,NA
"1616","E10000028","2019","Staffordshire","Good","Good","Requires improvement to be good","Good",0.0907,19.3487652917368,"West Midlands",45.0980392156863,2.38704177323103,1173,42.6257459505541,87.382779198636,0.0907,"West Midlands",45.0980392156863,87.382779198636,42.6257459505541,11.73,2.38704177323103
"1627","E10000029","2019","Suffolk","Outstanding","Outstanding","Outstanding","Good",0.1107,20.1735075852105,"East of England",29.9421965317919,5.78034682080925,865,38.4971098265896,79.3063583815029,0.1107,"East of England",29.9421965317919,79.3063583815029,38.4971098265896,8.65,5.78034682080925
"1637","E10000030","2018","Surrey","Inadequate","Inadequate","Inadequate","Requires improvement to be good",0.0082,22.0100442545553,"South East",40.752688172043,7.41935483870968,930,42.5806451612903,74.3010752688172,0.0082,"South East",40.752688172043,74.3010752688172,42.5806451612903,9.3,7.41935483870968
"1647","E10000031","2017","Warwickshire","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.0664,20.2673931295411,"West Midlands",25.0716332378224,3.15186246418338,698,41.5472779369628,78.6532951289398,0.0664,"West Midlands",25.0716332378224,78.6532951289398,41.5472779369628,6.98,3.15186246418338
"1660","E10000032","2019","West Sussex","Inadequate","Inadequate","Inadequate","Inadequate",0.0425,20.3832264635755,"South East",38.5815602836879,5.67375886524823,705,40.5673758865248,77.4468085106383,0.0425,"South East",38.5815602836879,77.4468085106383,40.5673758865248,7.05,5.67375886524823
"1671","E10000034","2019","Worcestershire","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.1265,19.9501163169326,"West Midlands",36.4945978391357,4.80192076830732,833,41.4165666266507,84.5138055222089,0.1265,"West Midlands",36.4945978391357,84.5138055222089,41.4165666266507,8.33,4.80192076830732
