"","LAD19CD","year","LAD19NM","over","lead","safe","exper","IMD.2019...Extent","under18","region_name","for_profit_percent","third_sector_percent","Cic_n_march","CLA_female_percent","CLA_white_percent","imd","region","profit","white","female","n","third"
"553","E06000051","2017","Shropshire","Good","Good","Good","Requires improvement to be good",0.0426,18.8027430313836,"West Midlands",29.2096219931272,2.40549828178694,291,40.893470790378,87.9725085910653,0.0426,"West Midlands",29.2096219931272,87.9725085910653,40.893470790378,2.91,2.40549828178694
"566","E06000052","2019","Cornwall","Outstanding","Outstanding","Good","Outstanding",0.1323,19.0518243331028,"South West",21.3656387665198,3.08370044052863,454,45.374449339207,93.8325991189427,0.1323,"South West",21.3656387665198,93.8325991189427,45.374449339207,4.54,3.08370044052863
"570","E06000053","2019","Isles of Scilly","Good","Outstanding","Good","Good",0,15.1528776978417,"South West",NA,NA,0,NA,NA,0,"South West",NA,NA,NA,0,NA
"581","E06000054","2019","Wiltshire","Good","Good","Good","Good",0.0288,21.2117818344719,"South West",43.1372549019608,3.92156862745098,459,44.2265795206972,83.8779956427015,0.0288,"South West",43.1372549019608,83.8779956427015,44.2265795206972,4.59,3.92156862745098
"590","E06000055","2017","Bedford","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.1328,23.0848910024012,"East of England",51.6981132075472,2.64150943396226,265,43.7735849056604,63.3962264150943,0.1328,"East of England",51.6981132075472,63.3962264150943,43.7735849056604,2.65,2.64150943396226
"601","E06000056","2017","Central Bedfordshire","Good","Good","Good","Requires improvement to be good",0.0297,21.9437203156805,"East of England",44.7368421052632,4.27631578947368,304,41.1184210526316,76.9736842105263,0.0297,"East of England",44.7368421052632,76.9736842105263,41.1184210526316,3.04,4.27631578947368
"608","E06000057","2020","Northumberland","Good","Good","Good","Good",0.205,18.1585448706071,"North East",13.3640552995392,7.37327188940092,434,47.0046082949309,94.2396313364055,0.205,"North East",13.3640552995392,94.2396313364055,47.0046082949309,4.34,7.37327188940092
"629","E08000001","2018","Bolton","Good","Good","Good","Good",0.4315,23.7129080638605,"North West",11.0569105691057,1.95121951219512,615,47.1544715447154,80.8130081300813,0.4315,"North West",11.0569105691057,80.8130081300813,47.1544715447154,6.15,1.95121951219512
"638","E08000002","2016","Bury","Requires improvement to be good","Good","Good","Requires improvement to be good",0.2416,22.7200628106715,"North West",20.1954397394137,6.18892508143322,307,42.3452768729642,80.4560260586319,0.2416,"North West",20.1954397394137,80.4560260586319,42.3452768729642,3.07,6.18892508143322
"650","E08000003","2017","Manchester","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.5999,22.2148080388487,"North West",45.3218884120172,6.18025751072961,1165,44.2918454935622,58.6266094420601,0.5999,"North West",45.3218884120172,58.6266094420601,44.2918454935622,11.65,6.18025751072961
"663","E08000004","2019","Oldham","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.479,25.132638859601,"North West",15.234375,1.953125,512,52.1484375,69.921875,0.479,"North West",15.234375,69.921875,52.1484375,5.12,1.953125
"673","E08000005","2018","Rochdale","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Good",0.4758,23.94943659347,"North West",25.1509054325956,4.02414486921529,497,41.4486921529175,78.4708249496982,0.4758,"North West",25.1509054325956,78.4708249496982,41.4486921529175,4.97,4.02414486921529
"684","E08000006","2018","Salford","Good","Good","Good","Good",0.472,22.2343636992547,"North West",19.4055944055944,1.3986013986014,572,41.2587412587413,80.4195804195804,0.472,"North West",19.4055944055944,80.4195804195804,41.2587412587413,5.72,1.3986013986014
"694","E08000007","2017","Stockport","Good","Good","Good","Good",0.1745,21.6159013211015,"North West",14.1993957703927,NA,331,43.202416918429,80.9667673716012,0.1745,"North West",14.1993957703927,80.9667673716012,43.202416918429,3.31,NA
"707","E08000008","2019","Tameside","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.4155,22.3689032332125,"North West",35.2409638554217,2.56024096385542,664,44.7289156626506,86.7469879518072,0.4155,"North West",35.2409638554217,86.7469879518072,44.7289156626506,6.64,2.56024096385542
"718","E08000009","2019","Trafford","Inadequate","Inadequate","Requires improvement to be good","Requires improvement to be good",0.1127,23.8087413736444,"North West",20.1923076923077,NA,416,47.5961538461538,77.6442307692308,0.1127,"North West",20.1923076923077,77.6442307692308,47.5961538461538,4.16,NA
"727","E08000010","2017","Wigan","Good","Good","Requires improvement to be good","Good",0.3135,20.9690435853997,"North West",16.8161434977578,4.03587443946188,446,45.2914798206278,87.4439461883408,0.3135,"North West",16.8161434977578,87.4439461883408,45.2914798206278,4.46,4.03587443946188
"738","E08000011","2017","Knowsley","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.5992,22.1661281637049,"North West",30.3448275862069,4.48275862068965,290,45.8620689655172,94.8275862068966,0.5992,"North West",30.3448275862069,94.8275862068966,45.8620689655172,2.9,4.48275862068965
"750","E08000012","2018","Liverpool","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.6213,19.1793279899114,"North West",33.781512605042,5.88235294117647,1190,47.2268907563025,77.3109243697479,0.6213,"North West",33.781512605042,77.3109243697479,47.2268907563025,11.9,5.88235294117647
"762","E08000013","2019","St Helens","Inadequate","Requires improvement to be good","Requires improvement to be good","Inadequate",0.4011,20.4158706426337,"North West",38.412017167382,3.86266094420601,466,44.4206008583691,96.137339055794,0.4011,"North West",38.412017167382,96.137339055794,44.4206008583691,4.66,3.86266094420601
"770","E08000014","2016","Sefton","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.2977,19.4151055291374,"North West",22.6781857451404,8.85529157667387,463,44.4924406047516,94.6004319654428,0.2977,"North West",22.6781857451404,94.6004319654428,44.4924406047516,4.63,8.85529157667387
"784","E08000015","2019","Wirral","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.3526,20.8350951047958,"North West",21.6346153846154,4.6875,832,44.9519230769231,93.75,0.3526,"North West",21.6346153846154,93.75,44.9519230769231,8.32,4.6875
"794","E08000016","2018","Barnsley","Good","Good","Good","Good",0.3838,20.6880941602535,"Yorkshire and the Humber",25.4838709677419,7.09677419354839,310,42.5806451612903,95.8064516129032,0.3838,"Yorkshire and the Humber",25.4838709677419,95.8064516129032,42.5806451612903,3.1,7.09677419354839
"804","E08000017","2017","Doncaster","Good","Good","Good","Good",0.3984,21.3203210979478,"Yorkshire and the Humber",45.8823529411765,49.8039215686275,510,45.4901960784314,90,0.3984,"Yorkshire and the Humber",45.8823529411765,90,45.4901960784314,5.1,49.8039215686275
"815","E08000018","2017","Rotherham","Good","Good","Good","Requires improvement to be good",0.3571,21.6220218319886,"Yorkshire and the Humber",35.9342915811088,7.59753593429158,487,48.2546201232033,82.135523613963,0.3571,"Yorkshire and the Humber",35.9342915811088,82.135523613963,48.2546201232033,4.87,7.59753593429158
"828","E08000019","2019","Sheffield","Good","Good","Requires improvement to be good","Good",0.3401,20.1308704922433,"Yorkshire and the Humber",27.7337559429477,6.81458003169572,631,45.9587955625991,66.7194928684628,0.3401,"Yorkshire and the Humber",27.7337559429477,66.7194928684628,45.9587955625991,6.31,6.81458003169572
"844","E08000021","2017","Newcastle upon Tyne","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.3706,19.4509231278858,"North East",16.0747663551402,3.92523364485981,535,48.2242990654206,83.3644859813084,0.3706,"North East",16.0747663551402,83.3644859813084,48.2242990654206,5.35,3.92523364485981
"858","E08000022","2020","North Tyneside","Outstanding","Outstanding","Outstanding","Good",0.232,20.1162439974913,"North East",14.1414141414141,5.05050505050505,297,42.0875420875421,92.5925925925926,0.232,"North East",14.1414141414141,92.5925925925926,42.0875420875421,2.97,5.05050505050505
"866","E08000023","2017","South Tyneside","Good","Good","Good","Good",0.4508,19.7980676005483,"North East",26.1818181818182,11.2727272727273,275,48.3636363636364,88.7272727272727,0.4508,"North East",26.1818181818182,88.7272727272727,48.3636363636364,2.75,11.2727272727273
"881","E08000024","2021","Sunderland","Outstanding","Outstanding","Good","Outstanding",0.396,NA,"North East",18.2113821138211,8.29268292682927,615,42.4390243902439,94.1463414634146,0.396,"North East",18.2113821138211,94.1463414634146,42.4390243902439,6.15,8.29268292682927
"889","E08000025","2018","Birmingham","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.5792,25.2667399117204,"West Midlands",44.0916189484643,5.62207183758459,1921,45.1327433628319,50.4945340968246,0.5792,"West Midlands",44.0916189484643,50.4945340968246,45.1327433628319,19.21,5.62207183758459
"899","E08000026","2017","Coventry","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.2669,21.5421950359435,"West Midlands",53.5483870967742,3.2258064516129,620,45.4838709677419,71.4516129032258,0.2669,"West Midlands",53.5483870967742,71.4516129032258,45.4838709677419,6.2,3.2258064516129
"911","E08000027","2018","Dudley","Requires improvement to be good","Good","Requires improvement to be good","Good",0.2708,21.6030515304436,"West Midlands",31.1178247734139,3.32326283987915,662,45.9214501510574,78.8519637462236,0.2708,"West Midlands",31.1178247734139,78.8519637462236,45.9214501510574,6.62,3.32326283987915
"921","E08000028","2017","Sandwell","Inadequate","Inadequate","Inadequate","Inadequate",0.5349,24.912431635224,"West Midlands",34.9180327868852,7.54098360655738,610,43.2786885245902,59.5081967213115,0.5349,"West Midlands",34.9180327868852,59.5081967213115,43.2786885245902,6.1,7.54098360655738
"934","E08000029","2019","Solihull","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Good",0.1708,21.9753759693863,"West Midlands",45.2830188679245,2.12264150943396,424,36.5566037735849,67.9245283018868,0.1708,"West Midlands",45.2830188679245,67.9245283018868,36.5566037735849,4.24,2.12264150943396
"943","E08000030","2017","Walsall","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.4844,23.8935913798068,"West Midlands",29.1666666666667,2.31481481481481,648,46.141975308642,72.0679012345679,0.4844,"West Midlands",29.1666666666667,72.0679012345679,46.141975308642,6.48,2.31481481481481
"954","E08000031","2017","Wolverhampton","Good","Good","Requires improvement to be good","Good",0.4828,23.1185029585344,"West Midlands",36.3067292644757,9.23317683881064,639,40.8450704225352,61.6588419405321,0.4828,"West Midlands",36.3067292644757,61.6588419405321,40.8450704225352,6.39,9.23317683881064
"966","E08000032","2018","Bradford","Inadequate","Requires improvement to be good","Inadequate","Requires improvement to be good",0.4981,26.4356175757158,"Yorkshire and the Humber",14.0973630831643,2.23123732251521,986,48.2758620689655,66.7342799188641,0.4981,"Yorkshire and the Humber",14.0973630831643,66.7342799188641,48.2758620689655,9.86,2.23123732251521
"977","E08000033","2018","Calderdale","Good","Good","Requires improvement to be good","Outstanding",0.2929,21.9062080520939,"Yorkshire and the Humber",22.8956228956229,5.38720538720539,297,46.1279461279461,82.4915824915825,0.2929,"Yorkshire and the Humber",22.8956228956229,82.4915824915825,46.1279461279461,2.97,5.38720538720539
"989","E08000034","2019","Kirklees","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.2938,22.7596541052828,"Yorkshire and the Humber",29.3075684380032,6.60225442834138,621,45.0885668276973,73.5909822866345,0.2938,"Yorkshire and the Humber",29.3075684380032,73.5909822866345,45.0885668276973,6.21,6.60225442834138
"999","E08000035","2018","Leeds","Outstanding","Outstanding","Outstanding","Good",0.3284,21.309842700274,"Yorkshire and the Humber",18.4688239936859,4.02525651144436,1267,45.3827940015785,73.8752959747435,0.3284,"Yorkshire and the Humber",18.4688239936859,73.8752959747435,45.3827940015785,12.67,4.02525651144436
"1010","E08000036","2018","Wakefield","Inadequate","Inadequate","Inadequate","Inadequate",0.3248,21.1260788666756,"Yorkshire and the Humber",23.5188509874327,4.84739676840215,557,44.165170556553,84.7396768402154,0.3248,"Yorkshire and the Humber",23.5188509874327,84.7396768402154,44.165170556553,5.57,4.84739676840215
"1015","E08000037","2019","Gateshead","Good","Good","Good","Good",0.3397,19.4932072950434,"North East",9.76253298153034,3.16622691292876,379,44.0633245382586,91.55672823219,0.3397,"North East",9.76253298153034,91.55672823219,44.0633245382586,3.79,3.16622691292876
"1027","E09000001","2020","City of London","Outstanding","Outstanding","Good","Outstanding",0.0322,16.6849515450722,"Inner London",83.3333333333333,NA,24,NA,NA,0.0322,"Inner London",83.3333333333333,NA,NA,0.24,NA
"1037","E09000002","2019","Barking and Dagenham","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.4724,29.847444412088,"Outer London",31.1594202898551,1.93236714975845,414,43.719806763285,52.1739130434783,0.4724,"Outer London",31.1594202898551,52.1739130434783,43.719806763285,4.14,1.93236714975845
"1048","E09000003","2019","Barnet","Good","Good","Good","Good",0.0523,23.6623731587975,"Outer London",42.3076923076923,4.80769230769231,312,40.7051282051282,40.7051282051282,0.0523,"Outer London",42.3076923076923,40.7051282051282,40.7051282051282,3.12,4.80769230769231
"1058","E09000004","2018","Bexley","Outstanding","Outstanding","Outstanding","Good",0.0755,22.9933915181713,"Outer London",30.4166666666667,NA,240,41.25,57.9166666666667,0.0755,"Outer London",30.4166666666667,57.9166666666667,41.25,2.4,NA
"1069","E09000005","2018","Brent","Good","Good","Requires improvement to be good","Outstanding",0.2074,23.5472120195287,"Outer London",48.5804416403785,4.10094637223975,317,38.4858044164038,23.6593059936909,0.2074,"Outer London",48.5804416403785,23.6593059936909,38.4858044164038,3.17,4.10094637223975
"1080","E09000006","2018","Bromley","Good","Outstanding","Good","Good",0.0734,22.6686519921715,"Outer London",35.1612903225806,6.7741935483871,310,40.9677419354839,61.9354838709677,0.0734,"Outer London",35.1612903225806,61.9354838709677,40.9677419354839,3.1,6.7741935483871
"1090","E09000007","2017","Camden","Good","Outstanding","Good","Good",0.1379,19.4082751488982,"Inner London",48.989898989899,5.05050505050505,198,34.3434343434343,37.3737373737374,0.1379,"Inner London",48.989898989899,37.3737373737374,34.3434343434343,1.98,5.05050505050505
"1104","E09000008","2020","Croydon","Good","Good","Good","Requires improvement to be good",0.1897,24.528583524422,"Outer London",45.51201011378,2.78128950695322,791,35.7774968394437,37.1681415929204,0.1897,"Outer London",45.51201011378,37.1681415929204,35.7774968394437,7.91,2.78128950695322
"1114","E09000009","2019","Ealing","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.163,24.0405376149044,"Outer London",41.5954415954416,12.2507122507123,351,45.2991452991453,30.7692307692308,0.163,"Outer London",41.5954415954416,30.7692307692308,45.2991452991453,3.51,12.2507122507123
"1125","E09000010","2019","Enfield","Good","Good","Good","Good",0.2942,25.2577937290664,"Outer London",48.6631016042781,2.67379679144385,374,37.7005347593583,48.3957219251337,0.2942,"Outer London",48.6631016042781,48.3957219251337,37.7005347593583,3.74,2.67379679144385
"1136","E09000011","2019","Greenwich","Good","Good","Good","Good",0.2017,23.9794819790097,"Outer London",57.6200417536534,7.09812108559499,479,40.9185803757829,49.2693110647182,0.2017,"Outer London",57.6200417536534,49.2693110647182,40.9185803757829,4.79,7.09812108559499
"1147","E09000012","2019","Hackney","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Good",0.4319,22.7184120660216,"Inner London",53.3333333333333,3.95061728395062,405,43.4567901234568,28.3950617283951,0.4319,"Inner London",53.3333333333333,28.3950617283951,43.4567901234568,4.05,3.95061728395062
